тэрмін на мове арыгінала (eng.),пераклад тэрміна на беларускую мову,як не перакладаць,заўвагі
ambient mode,неактыўны рэжым,рэжым агульнага святла,"Google (A UI option within Android Wear. After a certain amount of inactivity, the screen darkens and shows limited colors (low-bit display) to save battery, but the watch is still listening for ""Ok Google"". This is an alternate setting name for ""always-on screen"" that's used on certain devices to emphasize that the watch is in ambient mode.)"
Ambon,Амбон,,Samsung
American Samoa,Амерыканскае Самоа,,CLDR
Amharic,амхарская,,CLDR
ammo,гл. ammunition,,
ammunition,боепрыпасы; амуніцыя,,"Project Zomboid

Амуніцыя — не толькі боепрыпасы"
amount,колькасць; сума (калі пра грошы); велічыня (калі не падыходзіць астатняе),,Samsung — колькасць
AMP,AMP,,"Google (Abbreviation of the long-form ""Accelerated Mobile Pages"". A cross-PA effort to make mobile web publishing thrive in the open web ecosystem. With the AMP HTML format, it takes less effort to create mobile friendly content which loads instantly across a variety of platforms. NOTES: Please keep in English)"
Amplify Blacks,Узмацненне чорнага,Узмацніць чорны,Google (A unique term in Nik Software that enables a user to increase the appearance of blacks throughout their image.)
Amplify Whites,Узмацненне белага,Узмацніць белае,Google (A unique term in Nik Software that enables a user to increase the appearance of whites throughout their image.)
Amsterdam,Амстэрдам,,Samsung
analog,аналагавы,,Google (Type of audio output offered by many media devices. Analog audio is lower quality than that offered by HDMI or optical audio.)
Analytics,Аналітыка,,"Google (Short form of “YouTube Analytics”. YouTube Analytics provides partners with information on their total video views, estimated earnings, viewer demographics, referring sources, viewer locations, subscribers, and more, all of which help them make decisions about their content and build their business. YouTube Analytics is a self-service tool that provides detailed statistics on videos and viewers. It’s an easy and powerful way to discover which videos and themes work best for the partner's audience. With this knowledge, they can adjust their videos to reach more viewers, deepen their engagement, and sell more products.)"
Anchorage,Анкарыдж,,Samsung
and/or,і (або),,Samsung
Andorra,Андора,,CLDR
Android,Android,,Samsung (Some languages translate or transliterate this term. Please check before your work on.)
Android App on Google Play,Праграма Android у Google Play,,"Google (Android App on Google Play is a logo that is used as a badge which can be used on your website and promotional materials, to point to your products on Google Play.)"
Android Backup Service,Android Backup Service,,Google (Service name; please leave in English.)
Android Beam,Android Beam,,"Google (Feature for sending (""beaming"") app content from one NFC-capable device to another by holding the devices close together, typically back to back. For example, users can beam web pages, YouTube videos, contacts, and more by bringing the devices together and then touching the screen. The app determines what is beamed.)"
Android Beam,Android Beam,,Samsung
Android Compatibility Program,Праграма сумяшчальнасці Android,,Google (A program that defines the technical details of the Android platform and provides tools used by original equipment manufacturers (OEMs) to ensure that developers’ apps run on a variety of devices.)
Android Debug Bridge,Android Debug Bridge,,"Google (As an acronym the term appears as “ADB”. Android Debug Bridge (adb) is a versatile command line tool that can control your Android device over USB from a PC, copy files back and forth, install and uninstall apps, run shell commands, and more.)"
Android Device Manager,Менеджар прылад Android,,"Google (With Android Device Manager, you are able to find your lost android device, and in the event it is stolen, remotely factory reset it to protect your data.)"
Android File Transfer,Android File Transfer,,Google (An app for Macintosh computers used to view and transfer files between Macintosh and Android devices.)
Android Instant Apps,Імгненныя праграмы для Android,,"Google (An Android Instant App is an app that you can instantly open and use, without having to install it on your device (thus an ""instant app"").)"
Android Partner Front-End,Інтэрфейс Android-сумяшчальнай прылады,"Карыстальніцкі інтэрфейс прылады, сумяшчальнай з Android",Google (A user interface for accessing options for or information about an Android partner device. An Android partner device is a device that is compatible with or that can be connected with an Android phone.)
Android Wear,Android Wear,,"Google (Android Wear extends the Android platform to a new generation of wearable devices. These are small, powerful devices, worn on the body. Android Wear shows you info and suggestions you need, right when you need them. For more info see: http://googleblog.blogspot.ie/2014/03/sharing-whats-up-our-sleeve-android.html)"
AndroidAP,AndroidAP,,Google (AP stands for “access point”. This is Android phone's default SSID. NOTES: Please keep name in English.)
angle,вугал,,Англа-бел
Angola,Ангола,,"CLDR, Samsung"
Anguilla,Ангілья,,CLDR
animation,анімацыя,,"Google (Singular of ""animations"". Animation here refers to Google Photos Animations, they are GIF/animation auto generated by Google (or created in the app by the user) using your photos. If the keyword 'Animation' is typed in the search bar, we will redirect the user to the search result page for animations so it is important that the translation match the translation of the word Animations in the Google Photos Android and iOS apps.)"
animations,анімацыя,,Google (An animated series of several photos that play in a loop (like an animated GIF))
Animessage,Анімаванае паведамленне,,Samsung
annex,дадатак,,
annotate,дадаць заўвагу,,"MS — дадаць заўвагу, анатаваць, рабіць анатацыі, пакінуць заўвагу"
annotated,з заўвагамі,,Project Zomboid
annotation,анатацыя,,"Google — анатацыя (A visual element that a user can add as on overlay on top of their videos. An annotation can include text, a link, or both.),"
Annotations,Анатацыі,,Google (Feature that allows users to add text and links as overlays on their YouTube videos. The term is also sometimes used as a general category that includes both the previous definition and other video additions such as subtitles)
announcement,аб'ява,,Samsung
Announcements,Аб'явы,,Samsung
anonym,ананім,,
anonymization,ананімізацыя,,
anonymize,ананімізаваць,,
anonymous,ананімны,,"Telegram, MS"
anonymously,ананімна,,Telegram
ANR,Не адказвае; Не адказвае (ANR),,"Google (Abbreviation of ""Application Not Responding."")"
ANR report,Справаздачы пра ANR,"Справаздачы ANR (""праграма не адказвае"")","Google (A spreadsheet that lists details about ""application not responding"" errors that users experienced with an app.)"
answer,адказаць; адказ,,Samsung — адказ
answering message,паведамленне-адказ,,Samsung
Antarctica,Антарктыка,,CLDR
antenna,антэна,,Samsung
Anti virus,Антывірус,,Samsung
anti-shake,нейтралізацыя трасяніны,,Samsung
Antigua,Антыгуа,,CLDR
Antigua and Barbuda,Антыгуа і Барбуда,,CLDR
Anycall service center,Сэрвісны цэнтр Anycall,,Samsung
AP,пункт доступу,,Samsung
aperture,апертура,,Samsung
Aperture priority,Прыярытэт апертуры,,Samsung
API,API,,Samsung
APK,APK,,Google (Android application package (APK) is the file format which is used to distribute and install software (usually games or applications) onto Google's Android operating system.)
APN,APN; пункт доступу,,"Google — APN (Abbreviation of ""Access Point Name."" An APN identifies an external network that is accessible from a mobile terminal. An APN is associated with several attributes that define how it can access the external network at that point.);
Samsung — пункт доступу"
app,праграма,,"Google (A piece of software on a mobile device designed to fulfill a particular purpose. For example, Maps is an app for navigating from place to place, and Calendar is an app for scheduling and keeping track of events.), Samsung"
app bundle,набор праграм,,MS (A collection of app packages and shared app package resources for a single app.)
App connector,Праграмны злучальнік,,MS
app dock,паліца праграм,,Google (The apps that appear at the bottom of the home screen.)
App Inventor,App Inventor,,Google (A programming platform that lets non-programmers easily create Android apps. Reference URL: http://appinventor.mit.edu/)
App Inventor for Android,App Inventor for Android,,Google (An open-source web application that makes it easy for anyone to create mobile applications for Android-powered devices. Originally provided by Google and now maintained by MIT (Massachusetts Institute of Technology).)
app password,пароль праграмы,,Google (A special password for applications that require Google Account access but do not support two-step verification.)
app preferences,параметры праграмы,,Samsung
App Standby,Рэжым чакання праграмы,,"Google (Name of a feature in Android M that ensures apps that haven’t been used recently have a reduced battery impact while they’re in the background. And if an app hasn’t been used for several days, its power consumption is reduced to zero.)"
app verification,праверка праграмы,,Google (Google Play provides an app verification feature that warns users when installing potentially harmful apps from the Internet and third-party markets to their device.)
appeal,апеляцыя,,Google (Appeal is a process where the user who uploads a video on YouTube can contest the rejection of the dispute they filed against a claim. Appeal and dispute are not the same. The appeal can follow the dispute.)
appear,з'явіцца; адлюстравацца,,Samsung
append,"дадаваць, дадаць, дабаўляць; пазначаць",,"MS — дадаваць, дадаць, дабаўляць;
Telegram — пазначаць"
applet,міні-праграма,,MS (A small piece of code that can be transported over the Internet and executed on the recipient's machine. The term is especially used to refer to such programs as they are embedded in line as objects in HTML documents on the World Wide Web.)
application,праграма,"прыкладанне, дадатак, прыстасаванне, аплікацыя, прыладдзе, прылада, дастасаванне і г.д.","Google (A set of instructions that a computer or device uses to perform a specific task, such as word processing, accounting, or data management. An application program used on computers and electronic devices.), Samsung"
application shortcut,ярлык праграмы,,Samsung
applied policy,дастасоўная палітыка,прымянімая палітыка,"Google (The applied policy for a piece of claimed, user-uploaded content explains how YouTube handles that content. Uploaded content could contain multiple assets, and multiple administrators could manage licenses for each asset. The applied policy accounts for all of the policy rules defined in licenses that apply to the claim, and uses the most conservative rule for each territory. An applied policy also accounts for additional policies that YouTube must follow due to licensing restrictions or regulations in a particular territory. In some cases, YouTube may need to apply a more conservative policy than that defined by the administrators of the licenses that apply to a claim.)"
apply,"ужыць, ужывіце",,"Google (To put into operation or to use.), Samsung"
appointment,сустрэча,,Samsung
approval,ухваленне,,"Telegram — ухваленне;
MS — зацвярджэнне, ухваленне"
approve,ухваліць,,"Telegram — ухваліць;
MS — зацвердзіць, ухваліць, адобрыць"
approved,ухвалены(-ая); ухваліў(-ла); дазволіў(-ла),,"Telegram — ухвалены(-ая);
MS — ухвалена, зацверджана, дапушчана; дазволілі"
approximate,прыблізны,,Samsung
Apps tray,Вобласць праграм,,Samsung
AppWidget,AppWidget,,Samsung
AR book,AR-кніга,,Samsung
Arabic,Арабскае (пісьмо); арабская (мова),,CLDR
arbitrary code execution,выкананне адвольнага кода,,MS
arbitration board,арбітражная камісія (орган); ! вырашэнне спрэчак (дзеянне),,
Arcade,Аркада,,Google (Feature of Play Games that allows players who are online at the same time to see each other and challenge each other to matches. This term is based on the concept of games arcades from the 1970s onwards which were common gathering places for gamers.)
architecture,архітэктура,,
archive,архіў,,
area,"вобласць (частка інтэрфейсу); зона, рэгіён (геагр.); плошча (мат.); тэрыторыя; мясцовасць",,"MS — вобласць (A part of the user interface dedicated to a particular purpose, such as ""instant message area.""), рэгіён, плошча (мат.);
Samsung — вобласць; зона (геагр.);
Google — вобласць
Project Zomboid — мясцовасць"
area code,код зоны,,Samsung
Argentina,Аргенціна,,CLDR
Arizona,Арызона,,Samsung
arm,рука,,Samsung
Armenia,Арменія,,CLDR
Armenian,армянская,,CLDR
arrow,стрэлка,,"Telegram, MS"
Art & Design,Мастацтва і дызайн,,"Google (A Google Play Store category: sketchbooks, painter tools, art & design tools, coloring books...)"
Art Track,Трэк з вокладкай альбома,,"Google (An auto-generated music ""video"" created by YouTube. Art Tracks currently contain a static image of the album cover and artist/song/album metadata. There is no video (visuals that move). Example:https://drive.google.com/a/google.com/file/d/0B_UyHOJft5AqTnBKdlh5dVRzMVE/edit?usp=sharing)"
article,артыкул,,Samsung
artist,выканаўца,,"Google (The singer or group who created a song or album.), Samsung"
artist page,старонка выканаўцы,,"Google (Page containing information about an artist, such as biographical information and photos. This page will be visible when users go to the Play Store to buy songs of an artist.)"
Aruba,Аруба,,CLDR
as available,паводле наяўнасці,,Samsung
as is,як ёсць,,Samsung
ascending,па ўзрастанні,,"Anki, MS"
Ashgabat,Ашгабат,,Samsung
Asia,Азія,,CLDR
aspect ratio,суадносіны бакоў,,Google (The width to height ratio of the photo. Most digital camera photos are 4:3.)
aspect ratio,фарматныя суадносіны,,Samsung
Assamese,асамская,,CLDR
asset,аб'ект уласнасці,,"Google (Video or audio work that is owned by a content owner. These assets are provided to YouTube for inclusion in YouTube's Content Identification program. An asset is a piece of intellectual property. YouTube recognizes several types of assets: music video, sound recording, composition (with regard to music), movie, television program, and web video (such as content from our user partners that was made specifically for the web).)"
asset catalog,каталог аб'ектаў уласнасці,,Google (A database of assets for all content owners.)
asset metadata,метаданыя аб'екта ўласнасці,,Google (Information provided to YouTube that describes the asset (in the context of Content ID).)
assign,прызначыць,,"Samsung, MS"
Assign as host,Прызначыць вядоўцам,,Samsung
Assign as presenter,Прызначыць дакладчыкам,,Samsung
Assign presenter,Прызначыць дакладчыка,,Samsung
assignment,прызначэнне,,Samsung
assist app,праграма-памочнік,,Google (Assist apps can help you based on information from the screen you're viewing. Some apps support both launcher and voice input services to give you integrated assistance.)
assistant menu,дапаможнае меню,,Samsung
assistive light,дапаможне святло,,Samsung
associated,! звязаны,,MS
Asturian,астурыйская,,CLDR
Asu,асу (мова),,CLDR
at least,прынамсі,,"Samsung — як мінімум

прынамсі — у гэтым сэнсе коскамі не адасабляецца"
Athens,Афіны,,Samsung
atmosphere,атмасфера,,Samsung
attach,далучыць (файл); прымацаваць (прадмет),,"Samsung, MS — далучыць
Project Zomboid — прымацаваць"
attachment,"далучэнне (і дзеянне, і аб’ект); ! далучаны файл; укладанне (прадмет у пасылцы, не дакумент)",,"Samsung — далучэнне

Далучэнне — гэта хутчэй дзеянне, а не аб’ект?
Калі маем штосьці змешчанае ўнутры пасылкі — то гэта «укладанне», але звычайна маецца на ўвазе не дакумент.
З улікам этымалогіі і бягучай тэрмінасістэмы, я бы прапанаваў аб’ект перакладаць як «далучаны файл» або «прымацаваны …», калі прадмет.

У Сушы і Пашкевіч яшчэ ёсць «comput. залу́чнік (у электроннай пошце)», але не знаходжу гэта слова ні ў корпусе, ні ў іншых слоўніках.

Каментарый ад сп. А. Шумскага: «Так, -ННе не для дзеяння норм, такога ў белмове багата. Далучэнне ўжываецца яшчэ з 2000-х,  іншыя варыянты ідуць у калізію з іншымі тэрмінамі. І калі замяняць то трэба ўсё гняздо тэрмінаў змяняць - далучэнне, далучаць, далучаны»"
attack,атака,,Samsung
attempt,спроба,,Samsung
Attendance,Наведванне,,Samsung
Attendance history,Гісторыя наведвання,,Samsung
attendee,удзельнік,,Samsung
attribute,атрыбут,,
au,"а. а., астранамічная адзінка",,CLDR
AU ,"АС, Афрыканскі Саюз (калі ёсць месца)",,
Auckland,Окленд,,Samsung
audience retention,утрыманне аўдыторыі,,Google (Metric in YouTube Analytics which shows video owners how far viewers are watching through their videos.)
audio,аўдыя,аўдыё,"Google, Samsung, MS, Telegram"
audio CD,аўдыядыск,,MS
audio ID,ідэнтыфікатар аўдыя,,Google (Also known as AID. This is the system by which YouTube uses audio reference files to match videos that are uploaded to YouTube servers and set designated usage and match policies.)
Audio Library,Фанатэка,Аўдыябібліятэка,"Google (Feature that allows you to download and use royalty-free music for your videos. In the future, we may expand this to include free sound effects as well, so please try not to translate this as ""music"".)"
audio player,аўдыяпрайгравальнік,,
AudioSwap,Аўдыязамена,,"Google (Can be localized. Feature that allows users to change (""swap"") their existing audio track for a pre-approved music track. This feature is typically used when the user has a copyright claim issued against their audio track (for example, if they use a popular copyrighted song).)"
audit,"праверка (больш агульнае слова); аўдыт (фармальны, праз нейкіх трэціх асобаў)",,
Austin,Остын,,Samsung
Australia,Аўстралія,,CLDR
Austria,Аўстрыя,,CLDR
authentication,праверка сапраўднасці,,
authentication,праверкі сапраўднасці,,Samsung
authorization,аўтарызацыя,,MS — аўтарызацыя
authorize,аўтарызаваць,,MS
auto,аўта,,"MS, Telegram"
